scale word in dictionary: 0.06 
an ninh
anh dũng
anh hùng
ban hành
ban đầu
bao giờ
bao gồm
bi quan
biên giới
biến động
biểu hiện
biện chứng
biện pháp
bài học
bàn tay
bán cầu
bán lẻ
báo cáo
bây giờ
bình đẳng
bình định
bò sát
bóc lột
băng hà
bưu điện
bản chất
bản sắc
bảo thủ
bảo vệ
bảo đảm
bất công
bất ngờ
bắt buộc
bắt chước
bắt đầu
bằng chứng
bền vững
bỏ lỡ
bốc hơi
bồi dưỡng
bổ sung
bộ máy
bộ phận
ca dao
cai trị
cam kết
cao nguyên
cao độ
che phủ
chi phí
chi phối
chiến lược
chiến sĩ
chiến thuật
chiến thắng
chiến tranh
chiến đấu
cho biết
cho phép
chung cuộc
chung kết
chuyên gia
chuyên trách
châu thổ
chương trình
chảy máu
chấn hưng
chấp nhận
chất khí
chất độc
chặt chẽ
chế tác
chế độ
chỉ đạo
chọn lọc
chủ nghĩa
chủ quan
chủ quyền
chủ trương
chủ yếu
con số
cuối cùng
cá nhân
cách mạng
cán bộ
cánh tay
câu chuyện
câu lạc bộ
có lẽ
có thể
cô lập
côn trùng
công bố
công dân
công nghiệp
công nghệ
công nhân
công nhận
công tác
công xã
cơ bản
cơ hội
cơ quan
cơ sở
cơ thể
cư dân
cường độ
cưỡng bức
cạnh tranh
cải tạo
cải tổ
cảm tưởng
cản trở
cảnh cáo
cảnh giác
cấm vận
cấm địa
cấu tạo
cầm quyền
cần thiết
cầu thủ
cận đại
cố gắng
cống hiến
cổ truyền
cổ tích
cộng sản
cột trụ
cụ thể
củng cố
danh mục
di chuyển
di cư
di dân
dinh dưỡng
diện tích
doanh nghiệp
du lịch
duyên hải
dân cư
dân tộc
dây chuyền
dũng cảm
dần dần
dị thường
dự án
dự đoán
e dè
gay gắt
gia nhập
gia tăng
gia đình
giai cấp
giai đoạn
giao dịch
giao thông
giám sát
gián tiếp
giáo dục
giáo sư
giáo viên
gió mùa
giải pháp
giải phóng
giải quyết
giải thích
giải trí
giảm sút
giới hạn
gìn giữ
góp phần
gần gũi
gặp gỡ
hiểu biết
hiện diện
hiện nay
hiện thân
hiện thực
hiện tượng
hiện tại
hiện đại
hiệu lực
hiệu quả
hiệu suất
hoàn cảnh
hoàn thiện
hoàn toàn
hoạch định
hoạt động
hoảng hốt
hoảng sợ
hun đúc
huy hoàng
huy động
huấn luyện
hàng đầu
hành lang
hành vi
hành động
hình dáng
hạn chế
hạn hán
hải cảng
hải đảo
hấp dẫn
hấp thụ
hậu quả
hết sức
hệ thống
học phí
học viên
học đường
hỗ trợ
hợp lí
hợp đồng
hữu ích
khai thác
khoa học
khoáng sản
khuyên bảo
khuyến khích
khuôn khổ
khách hàng
khách quan
khách sạn
khái niệm
kháng chiến
khát vọng
khí hậu
khí quyển
khí tượng
khó khăn
không khí
không kể
không thể
khả năng
khẩn trương
khẩu hiệu
khẳng định
khốc liệt
khủng hoảng
kinh nghiệm
kinh tế
kiên quyết
kiên định
kiến nghị
kiến thức
kiến trúc
kiểm soát
kéo dài
kích thước
kế hoạch
kế tiếp
kết hợp
kết quả
kết thúc
kịch bản
kỹ thuật
lao động
liên doanh
liên quan
liên tiếp
liên đoàn
liệt kê
loại bỏ
loại trừ
luận điệu
lâu đời
lãng phí
lãnh thổ
lãnh đạo
lôi cuốn
lúng túng
lương thực
lạc hậu
lạc quan
lần lượt
lập tức
lễ nghĩa
lệ thuộc
lịch sử
lợi dụng
lục địa
lực lượng
mà cả
mênh mông
mùa màng
mất mùa
mặc dù
mặt trận
mục tiêu
mục đích
nghiêm trọng
nghiên cứu
nghĩa vụ
nghệ thuật
nghị quyết
ngoại ngữ
nguy hiểm
nguyên nhân
nguyên tắc
nguồn gốc
ngày mai
ngày nay
ngày sinh
người ta
người yêu
nhanh chóng
nhiên liệu
nhiệt độ
nhu cầu
nhà báo
nhà nước
nhân cách
nhân dân
nhân loại
nhân tạo
nhìn nhận
như vậy
nhấn mạnh
nhất quán
nhất định
nhận thức
nhận định
nhắc nhở
nô lệ
năng lượng
năng lực
năng suất
nền tảng
nổi tiếng
nội dung
nội địa
phong kiến
phong phú
phong trào
pháp luật
pháp lí
phân biệt
phân loại
phòng ngự
phù hợp
phù sa
phương châm
phương diện
phương pháp
phương thức
phương tiện
phạm trù
phạm vi
phản xạ
phẩm chất
phổ biến
phổ thông
phức tạp
quan hệ
quan trọng
quan điểm
qui mô
quyết liệt
quyết định
quá trình
quân sự
quây quần
quê hương
quần vợt
quần đảo
quốc gia
quốc phòng
quốc tế
ra sức
ra đi
ra đời
ranh giới
ràng buộc
rèn luyện
rõ ràng
rải rác
rộng lớn
sai lầm
san hô
sinh hoạt
sinh học
sinh sống
sinh trưởng
sinh viên
sinh vật
suy thoái
sách giáo khoa
sách lược
sáng tạo
sân bóng
sâu sắc
sơ hở
sơ khai
sản lượng
sản phẩm
sản xuất
số liệu
số lượng
sốt rét
sở thích
sức lực
sức mạnh
sức sống
sử dụng
sử học
sự nghiệp
tan rã
tham gia
tham nhũng
thanh tra
thay phiên
thay đổi
theo dõi
theo đuổi
thi hành
thiên nhiên
thiên tai
thiết kế
thiết lập
thiếu sót
thiệt hại
thiệt mạng
thu hoạch
thu hút
thu nhập
thuyết phục
thuốc phiện
thuộc địa
thành công
thành phần
thành quả
thành thị
thành tựu
thành viên
thách thức
thân thiện
thích hợp
thích nghi
thích ứng
thói quen
thông minh
thông qua
thông thường
thông thạo
thông tin
thưa thớt
thương mại
thường xuyên
thượng tầng
thất bại
thất thường
thần kinh
thần thoại
thẩm quyền
thậm chí
thắng lợi
thẳng đứng
thế giới
thế hệ
thế lực
thế nào
thể chế
thể dục
thể hiện
thể lực
thể thao
thị trường
thống nhất
thống trị
thổi phồng
thời cơ
thời gian
thời tiết
thời vụ
thời đại
thủ công
thử thách
thực dân
thực hiện
thực thể
thực trạng
thực tế
tin cậy
tinh hoa
tinh thần
tiên tiến
tiêu biểu
tiêu chuẩn
tiêu cực
tiêu diệt
tiêu hao
tiêu tan
tiêu thụ
tiến bộ
tiến hành
tiếng nói
tiếp cận
tiếp nhận
tiếp thu
tiếp tục
tiết kiệm
tiềm lực
tiềm tàng
tiền bạc
tiểu học
tiểu xảo
to lớn
toàn bộ
toàn diện
toàn quyền
toàn quốc
trang bị
tranh thủ
trao đổi
tri thức
trinh nữ
triển vọng
triệt tiêu
trung bình
trung lập
trung thành
trung ương
truyền bá
truyền thuyết
truyền thống
trách nhiệm
trái phép
trình tự
trình độ
trí thức
trường học
trường hợp
trạng thái
trấn giữ
trầm trọng
trật tự
trị giá
trọng tài
trở lại
trở nên
trở về
trực tiếp
tuy nhiên
tuyên truyền
tuyệt chủng
tuyệt đối
tuân thủ
tài chính
tài liệu
tài nguyên
tài năng
tài sản
tác dụng
tác giả
tác hại
tác động
tê giác
tìm hiểu
tình hình
tình thế
tình trạng
tích cực
tính chất
tóm tắt
tôm hùm
tăng cường
tư bản
tư cách
tư duy
tư tưởng
tư vấn
tương lai
tương quan
tương đương
tương đối
tương ứng
tại chỗ
tạp chí
tấn công
tất cả
tất yếu
tần số
tầng lớp
tận dụng
tập hợp
tập luyện
tập quán
tập trung
tốc độ
tối thiểu
tốn kém
tồi tệ
tồn tại
tổ chức
tổ tiên
tổn hại
tổn thương
tổn thất
tổng cộng
tổng hợp
tổng kết
tổng số
tục ngữ
tức thì
tự chủ
tự do
tự học
tự lập
tự lực
tự nhiên
tỷ lệ
vai trò
vi khuẩn
vi phạm
vinh dự
viễn thông
việt vị
vào khoảng
vô sản
văn minh
văn phòng
vĩ độ
vĩnh cửu
vũ bão
vấn đề
vận chuyển
vận hành
vận tải
vật chất
vật liệu
vệ tinh
vị trí
vội vã
vừa mới
vững chắc
xem xét
xu hướng
xu thế
xung đột
xuyên tạc
xuất hiện
xuất phát
xác nhận
xác định
xâm lược
xâm nhập
xây dựng
xã hội
xã hội chủ nghĩa
xê dịch
xứng đáng
y tế
yêu cầu
yếu tố
áp bức
áp dụng
áp lực
